pattern,alg
000111222333,['']
020131202313,"[""r'"", ""l'"", 'u2', 'r', 'l', 'b', 'f', 'u2', ""b'"", ""f'""]"
010131222303,"['r', ""u'"", 'r', 'u', 'r', 'u', 'r', ""u'"", ""r'"", ""u'"", 'r2']"
030101222313,"[""l'"", 'u', ""l'"", ""u'"", ""l'"", ""u'"", ""l'"", 'u', 'l', 'u', 'l2']"
010101232323,"['r', 'u', ""r'"", 'u', ""r'"", ""u'"", ""r'"", 'u', 'r', ""u'"", ""r'"", ""u'"", 'r2', 'u', 'r']"
002310121233,"[""r'"", 'f', ""r'"", 'b2', 'r', ""f'"", ""r'"", 'b2', 'r2']"
030102311223,"['r', ""b'"", 'r', 'f2', ""r'"", 'b', 'r', 'f2', 'r2']"
032301210123,"['r', ""b'"", ""r'"", 'f', 'r', 'b', ""r'"", ""f'"", 'r', 'b', ""r'"", 'f', 'r', ""b'"", ""r'"", ""f'""]"
032320111203,"[""r'"", 'u2', ""r'"", ""u'"", ""b'"", ""r'"", 'b2', ""u'"", ""b'"", 'u', ""b'"", 'r', 'b', ""u'"", 'r']"
030122301213,"['r', 'l', 'u2', ""r'"", ""l'"", ""f'"", 'u', ""b'"", 'u2', 'f', ""u'"", 'b']"
021200132313,"[""r'"", ""u'"", 'r', 'u', ""d'"", 'r2', 'u', ""r'"", 'u', 'r', ""u'"", 'r', ""u'"", 'r2', 'd']"
010132301223,"[""l'"", ""r'"", 'u2', 'l', 'r', 'f', ""u'"", 'b', 'u2', ""f'"", 'u', ""b'""]"
031220102313,"['r', 'u', ""r'"", 'f2', ""d'"", 'l', ""u'"", ""l'"", 'u', ""l'"", 'd', 'f2']"
001220112333,"[""r'"", 'u2', 'r', 'u', ""r'"", ""u2'"", 'l', ""u'"", 'r', 'u', ""l'""]"
011200122333,"['r', 'u2', ""r'"", ""u'"", 'r', 'u2', ""l'"", 'u', ""r'"", ""u'"", 'l']"
022311200133,"['r', ""u'"", 'l', 'u2', ""r'"", 'u', ""l'"", 'r', ""u'"", 'l', 'u2', ""r'"", 'u', ""l'""]"
002331220113,"[""r'"", 'u', ""l'"", 'u2', 'r', ""u'"", 'l', ""r'"", 'u', ""l'"", 'u2', 'r', ""u'"", 'l']"
032310101223,"['r', 'u2', ""r'"", 'u2', 'r', ""b'"", ""r'"", ""u'"", 'r', 'u', 'r', 'b', 'r2']"
010102321233,"[""r'"", 'u2', 'r', 'u2', ""r'"", 'f', 'r', 'u', ""r'"", ""u'"", ""r'"", ""f'"", ""r2'""]"
001230122313,"['r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r2', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'""]"
002321210133,"[""r'"", 'u', ""r'"", ""u'"", ""b'"", ""r'"", 'b2', ""u'"", ""b'"", 'u', ""b'"", 'r', 'b', 'r']"
002311230123,"['f', 'r', ""u'"", ""r'"", ""u'"", 'r', 'u', ""r'"", ""f'"", 'r', 'u', ""r'"", ""u'"", ""r'"", 'f', 'r', ""f'""]"
